Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
404,"Gardner Minshew","KC","QB",53,10,169.9,36.39,"N/A"
405,"Austin Trammell","JAX","WR",152,8,170,0,"N/A"
406,"Indianapolis Colts DST","IND","DST",21,11,null,99.64,"N/A"
407,"Jacoby Brissett","ARI","QB",54,8,170,36.01,"N/A"
408,"Jake Moody","SF","K",21,14,169.3,137.08,"N/A"
409,"Kendrick Bourne","NE","WR",153,14,170,42.79,"N/A"
410,"Jason Myers","SEA","K",22,8,169.5,139.1,"N/A"
411,"Scott Miller","PIT","WR",154,5,null,14.64,"N/A"
412,"Tanner McKee","PHI","QB",55,9,169.9,27.09,"N/A"
413,"Chad Ryland","ARI","K",23,8,169.9,134.96,"N/A"
414,"Casey Washington","ATL","WR",155,5,170,11.69,"N/A"
415,"Cincinnati Bengals DST","CIN","DST",22,10,169.4,101.39,"N/A"
416,"Sione Vaki","DET","RB",108,8,170,11.77,"N/A"
417,"Devin Neal","NO","RB",109,11,170.2,19.33,1
418,"Cam Little","JAX","K",24,8,169.8,138.52,"N/A"
419,"Amari Cooper","BUF","WR",156,7,null,0,1
420,"Carson Steele","KC","RB",110,10,170,12.38,"N/A"
421,"DeAndre Carter","CLE","WR",157,9,170,44.45,"N/A"
422,"Audric Estime","DEN","RB",111,12,170,12.82,1
423,"Cooper Rush","BAL","QB",56,7,169.9,27.61,"N/A"
424,"Johnny Wilson","PHI","WR",158,9,170,14.1,"N/A"
425,"Deuce Vaughn","DAL","RB",112,10,170,3.83,"N/A"
426,"Atlanta Falcons DST","ATL","DST",23,5,169.5,100.59,"N/A"
427,"Miami Dolphins DST","MIA","DST",24,12,169.7,104.35,"N/A"
428,"New England Patriots DST","NE","DST",25,14,null,104.47,"N/A"
429,"Eric Gray","NYG","RB",113,14,170,24.99,"N/A"
430,"Ben Skowronek","PIT","WR",159,5,170,41.67,"N/A"
431,"Davis Mills","HOU","QB",57,6,170,25.91,"N/A"
432,"Grant Calcaterra","PHI","TE",54,9,169.9,36.15,"N/A"
433,"Rasheen Ali","BAL","RB",114,7,170,8.04,"N/A"
434,"Mitch Trubisky","BUF","QB",58,7,null,28.09,"N/A"
435,"Lucky Jackson","MIN","WR",160,6,170,18.9,"N/A"
436,"Ashton Dulin","IND","WR",161,11,170,12.35,"N/A"
437,"Spencer Shrader","IND","K",25,11,170,133.64,"N/A"
438,"Xavier Weaver","ARI","WR",162,8,170,6.51,"N/A"
439,"D'Wayne Eskridge","MIA","WR",163,12,null,26.48,"N/A"
440,"Joey Slye","TEN","K",26,10,169.9,128.02,"N/A"
441,"Khalil Herbert","IND","RB",115,11,170,0,1
442,"Devin Duvernay","CHI","WR",164,5,170,3.35,"N/A"
443,"Daniel Bellinger","NYG","TE",55,14,170,30.53,"N/A"
444,"Justin Watson","HOU","WR",165,6,170,3.89,"N/A"
445,"Dustin Hopkins","CLE","K",27,9,169.8,127.1,"N/A"
446,"Washington Commanders DST","WAS","DST",26,12,168.9,100.79,"N/A"
447,"Raheem Blackshear","CAR","RB",116,14,170,5.11,"N/A"
448,"Trey Palmer","TB","WR",166,9,170,21.81,"N/A"
449,"Blake Grupe","NO","K",28,11,169.8,126.38,"N/A"
450,"Anthony Gould","IND","WR",167,11,170,1.64,"N/A"
451,"Xavier Gipson","NYJ","WR",168,9,170,10.06,"N/A"
452,"Tom Kennedy","DET","WR",169,8,170,0.83,"N/A"
453,"Hassan Haskins","LAC","RB",117,12,170,12.58,"N/A"
454,"Cleveland Browns DST","CLE","DST",27,9,169.3,106.16,"N/A"
455,"Jeremy Ruckert","NYJ","TE",56,9,170,17.14,"N/A"
456,"Tyquan Thornton","KC","WR",170,10,170,9.22,"N/A"
457,"Noah Fant","CIN","TE",57,10,170,47.7,"N/A"
458,"New Orleans Saints DST","NO","DST",28,11,169.7,95.99,"N/A"
459,"Jarrett Stidham","DEN","QB",59,12,170,29.44,"N/A"
460,"Charlie Kolar","BAL","TE",58,7,170,19.68,"N/A"
461,"Clyde Edwards-Helaire","NO","RB",118,11,170,12.23,"N/A"
462,"Hunter Renfrow","CAR","WR",171,14,169.8,30.25,"N/A"
463,"Jacksonville Jaguars DST","JAX","DST",29,8,169.5,102.96,"N/A"
464,"Trey Sermon","PIT","RB",119,5,170,23.32,"N/A"
465,"Xavier Smith","LAR","WR",172,8,170,1.59,"N/A"
466,"Mason Tipton","NO","WR",173,11,170,0,"N/A"
467,"Ainias Smith","PHI","WR",174,9,170,7.16,"N/A"
468,"Las Vegas Raiders DST","LV","DST",30,8,169.6,96.42,"N/A"
469,"LaJohntay Wester","BAL","WR",175,7,170,8.18,"N/A"
470,"Michael Carter","ARI","RB",120,8,170,21.28,"N/A"
471,"Matthew Wright","CAR","K",29,14,169.9,129.37,"N/A"
472,"Bryce Oliver","TEN","WR",176,10,170,14.44,"N/A"
473,"Jaret Patterson","LAC","RB",121,12,170,10.63,"N/A"
474,"Graham Gano","NYG","K",30,14,169.7,133.55,"N/A"
475,"Darnell Washington","PIT","TE",59,5,169.9,23.3,"N/A"
476,"Trent Sherfield","DEN","WR",177,12,null,18.8,"N/A"
477,"Tennessee Titans DST","TEN","DST",31,10,169.8,97.32,"N/A"
478,"Andres Borregales","NE","K",31,14,null,129.32,"N/A"
479,"Beaux Collins","NYG","WR",178,14,null,34.61,"N/A"
480,"Skyy Moore","SF","WR",179,14,170,11.55,"N/A"
481,"Nick Mullens","JAX","QB",60,8,170,10.03,"N/A"
482,"Colby Parkinson","LAR","TE",60,8,170,21.81,"N/A"
483,"Tez Johnson","TB","WR",180,9,170,0,"N/A"
484,"Jalen Reagor","LAC","WR",181,12,170,0,"N/A"
485,"Terrell Jennings","NE","RB",122,14,170,0,"N/A"
486,"Carolina Panthers DST","CAR","DST",32,14,169.4,89.91,"N/A"
487,"Julian Hill","MIA","TE",61,12,170,35.1,"N/A"
488,"Efton Chism III","NE","WR",182,14,169.9,0,"N/A"
489,"Phil Mafah","DAL","RB",123,10,170,16.81,"N/A"
490,"Dominic Lovett","DET","WR",183,8,170,4.08,"N/A"
491,"Joshua Dobbs","NE","QB",61,14,169.9,18.49,"N/A"
492,"Nick Folk","NYJ","K",32,9,170,133.78,"N/A"
493,"Malik Heath","GB","WR",184,5,170,0,"N/A"
494,"Andy Dalton","CAR","QB",62,14,170,5.21,"N/A"
495,"Kene Nwangwu","NYJ","RB",124,9,170,3,"N/A"
496,"Alex Bachman","LV","WR",185,8,170,13.25,"N/A"
497,"Adam Trautman","DEN","TE",62,12,170,23.12,"N/A"
498,"Tyrell Shavers","BUF","WR",186,7,170,18.84,"N/A"
499,"Dare Ogunbowale","HOU","RB",125,6,170.1,4.36,"N/A"
500,"Gunner Olszewski","NYG","WR",187,14,170,0,"N/A"
501,"Aidan O'Connell","LV","QB",63,8,170,40.96,"N/A"
502,"Teddy Bridgewater","TB","QB",64,9,170,25.03,"N/A"
503,"Zavier Scott","MIN","RB",126,6,null,0,"N/A"
504,"Drew Sample","CIN","TE",63,10,170,41.83,"N/A"
505,"Josh Williams","TB","RB",127,9,null,0,"N/A"
506,"Ronnie Rivers","LAR","RB",128,8,170,4.94,"N/A"
507,"Elijah Higgins","ARI","TE",64,8,170,44.66,"N/A"
508,"Simi Fehoko","ARI","WR",188,8,170,19.26,"N/A"
509,"David Sills V","ATL","WR",189,5,170,7.08,"N/A"
510,"Erik Ezukanma","MIA","WR",190,12,170,21.59,"N/A"
511,"Mitchell Tinsley","CIN","WR",191,10,170,0,"N/A"
512,"Brandon Johnson","PIT","WR",192,5,170,16.94,"N/A"
