Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
99,"Trevor Lawrence","JAX","QB",11,8,null,260.45,3
100,"Khalil Shakir","BUF","WR",49,7,112.7,175.15,10
101,"Travis Kelce","KC","TE",11,10,64.2,152.93,8
102,"Jacory Croskey-Merritt","WAS","RB",31,12,170,140.11,1
103,"Rhamondre Stevenson","NE","RB",32,14,107.6,150.86,3
104,"Mark Andrews","BAL","TE",12,7,80,149.47,6
105,"Javonte Williams","DAL","RB",33,10,115.4,132.39,4
106,"Bo Nix","DEN","QB",12,12,77.4,259.64,3
107,"Kyler Murray","ARI","QB",13,8,90.4,258.36,3
108,"Cam Skattebo","NYG","RB",34,14,116.2,132.17,4
109,"Caleb Williams","CHI","QB",14,5,null,253.33,5
110,"Jared Goff","DET","QB",15,8,null,251.94,2
111,"Justin Herbert","LAC","QB",16,12,104.9,250.27,2
112,"Evan Engram","DEN","TE",13,12,90.9,147.08,8
113,"Cooper Kupp","SEA","WR",50,8,92.7,172.56,5
114,"Jordan Love","GB","QB",17,5,null,246.06,2
115,"Tank Bigsby","JAX","RB",35,8,113.1,115.82,2
116,"Braelon Allen","NYJ","RB",36,9,169,109.96,2
117,"C.J. Stroud","HOU","QB",18,6,null,247.55,3
118,"Dallas Goedert","PHI","TE",14,9,null,144.97,3
119,"Jaydon Blue","DAL","RB",37,10,null,113.81,3
120,"Travis Etienne Jr.","JAX","RB",38,8,115.7,111.08,6
121,"Kaleb Johnson","PIT","RB",39,5,105.3,157.22,9
122,"Joe Mixon","HOU","RB",40,6,100.1,155.41,13
123,"Nick Chubb","HOU","RB",41,6,null,109.49,2
124,"Zach Charbonnet","SEA","RB",42,8,null,102.7,4
125,"Michael Penix Jr.","ATL","QB",19,5,null,240.63,1
126,"Tyjae Spears","TEN","RB",43,10,null,109.11,3
127,"Dylan Sampson","CLE","RB",44,9,169.9,114.14,2
128,"Jake Ferguson","DAL","TE",15,10,null,143.54,2
129,"Bhayshul Tuten","JAX","RB",45,8,null,107.23,3
130,"Christian Kirk","HOU","WR",51,6,169.7,156.01,3
131,"Kyle Monangai","CHI","RB",46,5,170.2,74.54,"N/A"
132,"J.K. Dobbins","DEN","RB",47,12,112.6,103.27,1
133,"Keon Coleman","BUF","WR",52,7,null,153.84,4
134,"Demario Douglas","NE","WR",53,14,170,155.16,1
135,"Chigoziem Okonkwo","TEN","TE",16,10,null,138.42,"N/A"
136,"Trey Benson","ARI","RB",48,8,null,102.08,3
137,"Brandon Aiyuk","SF","WR",54,14,106.7,153,4
138,"Tyler Allgeier","ATL","RB",49,5,null,101.03,2
